Feat, featLink, book, bookLink
Chameleon Hide,/feats/serpent-kingdoms--24/chameleon-hide--317/,Serpent Kingdoms,/rulebooks/forgotten-realms-35--4/serpent-kingdoms--24/
Channel Charge,/feats/lost-empires-of-faerun--30/channel-charge--318/,Lost Empires of Faerun,/rulebooks/forgotten-realms-35--4/lost-empires-of-faerun--30/
Channel Legacy,/feats/weapons-of-legacy--91/channel-legacy--319/,Weapons of Legacy,/rulebooks/supplementals-35--5/weapons-of-legacy--91/
Channeled Rage,/feats/races-of-destiny--81/channeled-rage--320/,Races of Destiny,/rulebooks/supplementals-35--5/races-of-destiny--81/
Chant of Fortitude,/feats/complete-adventurer--54/chant-of-fortitude--321/,Complete Adventurer,/rulebooks/supplementals-35--5/complete-adventurer--54/
Chant of the Long Road ,/feats/complete-scoundrel--60/chant-of-the-long-road--322/,Complete Scoundrel,/rulebooks/supplementals-35--5/complete-scoundrel--60/
Chaos Devotion,/feats/complete-champion--57/chaos-devotion--323/,Complete Champion,/rulebooks/supplementals-35--5/complete-champion--57/
Chaotic Mind,/feats/expanded-psionics-handbook--65/chaotic-mind--324/,Expanded Psionics Handbook,/rulebooks/supplementals-35--5/expanded-psionics-handbook--65/
Chaotic Rage,/feats/epic-level-handbook--41/chaotic-rage--325/,Epic Level Handbook,/rulebooks/supplementals-30--7/epic-level-handbook--41/
Chaotic Spell Recall ,/feats/fiendish-codex-i-hordes-of-the-abyss--66/chaotic-spell-recall--326/,Fiendish Codex I: Hordes of the Abyss,/rulebooks/supplementals-35--5/fiendish-codex-i-hordes-of-the-abyss--66/
Chariot Archery,/feats/sword-and-fist-a-guidebook-to-monks-and-fighters--50/chariot-archery--327/,Sword and Fist: A Guidebook to Monks and Fighters,/rulebooks/supplementals-30--7/sword-and-fist-a-guidebook-to-monks-and-fighters--50/
Chariot Charge,/feats/sword-and-fist-a-guidebook-to-monks-and-fighters--50/chariot-charge--328/,Sword and Fist: A Guidebook to Monks and Fighters,/rulebooks/supplementals-30--7/sword-and-fist-a-guidebook-to-monks-and-fighters--50/
Chariot Combat,/feats/sword-and-fist-a-guidebook-to-monks-and-fighters--50/chariot-combat--329/,Sword and Fist: A Guidebook to Monks and Fighters,/rulebooks/supplementals-30--7/sword-and-fist-a-guidebook-to-monks-and-fighters--50/
Chariot Sideswipe,/feats/sword-and-fist-a-guidebook-to-monks-and-fighters--50/chariot-sideswipe--330/,Sword and Fist: A Guidebook to Monks and Fighters,/rulebooks/supplementals-30--7/sword-and-fist-a-guidebook-to-monks-and-fighters--50/
Chariot Trample,/feats/sword-and-fist-a-guidebook-to-monks-and-fighters--50/chariot-trample--331/,Sword and Fist: A Guidebook to Monks and Fighters,/rulebooks/supplementals-30--7/sword-and-fist-a-guidebook-to-monks-and-fighters--50/
Charlatan,/feats/song-and-silence-a-guidebook-to-bards-and-rogues--48/charlatan--332/,Song and Silence: A Guidebook to Bards and Rogues,/rulebooks/supplementals-30--7/song-and-silence-a-guidebook-to-bards-and-rogues--48/
Charm Immunity,/feats/serpent-kingdoms--24/charm-immunity--333/,Serpent Kingdoms,/rulebooks/forgotten-realms-35--4/serpent-kingdoms--24/
Charm Resistance,/feats/serpent-kingdoms--24/charm-resistance--334/,Serpent Kingdoms,/rulebooks/forgotten-realms-35--4/serpent-kingdoms--24/
Charming,/feats/dragon-compendium--109/charming--3339/,Dragon Compendium,/rulebooks/supplementals-35--5/dragon-compendium--109/
Charnel Miasma,/feats/complete-champion--57/charnel-miasma--335/,Complete Champion,/rulebooks/supplementals-35--5/complete-champion--57/
Cheetah Tribe Sprint,/feats/shining-south--25/cheetah-tribe-sprint--336/,Shining South,/rulebooks/forgotten-realms-35--4/shining-south--25/
Cheetah&#39;s Speed,/feats/complete-divine--56/cheetahs-speed--337/,Complete Divine,/rulebooks/supplementals-35--5/complete-divine--56/
Child of the Swamps,/feats/players-guide-to-eberron--13/child-of-the-swamps--338/,Player&#39;s Guide to Eberron,/rulebooks/eberron-35--3/players-guide-to-eberron--13/
Child of Winter,/feats/eberron-campaign-setting--12/child-of-winter--339/,Eberron Campaign Setting,/rulebooks/eberron-35--3/eberron-campaign-setting--12/
Chink in the Armor,/feats/song-and-silence-a-guidebook-to-bards-and-rogues--48/chink-in-the-armor--340/,Song and Silence: A Guidebook to Bards and Rogues,/rulebooks/supplementals-30--7/song-and-silence-a-guidebook-to-bards-and-rogues--48/
Choke Hold,/feats/oriental-adventures--96/choke-hold--3666/,Oriental Adventures,/rulebooks/oriental-adventures--8/oriental-adventures--96/
Chondathan Missionary,/feats/races-of-faerun--23/chondathan-missionary--341/,Races of Faerun,/rulebooks/forgotten-realms-30--6/races-of-faerun--23/
Chord of Distraction ,/feats/complete-scoundrel--60/chord-of-distraction--342/,Complete Scoundrel,/rulebooks/supplementals-35--5/complete-scoundrel--60/
Chosen Foe,/feats/drow-of-the-underdark--93/chosen-foe--3325/,Drow of the Underdark,/rulebooks/supplementals-35--5/drow-of-the-underdark--93/
Chosen of Evil,/feats/elder-evils--110/chosen-evil--3505/,Elder Evils,/rulebooks/supplementals-35--5/elder-evils--110/
Chosen of Iborighu,/feats/frostburn--68/chosen-of-iborighu--343/,Frostburn,/rulebooks/supplementals-35--5/frostburn--68/
Chosen of the Deathless,/feats/players-guide-to-eberron--13/chosen-of-the-deathless--344/,Player&#39;s Guide to Eberron,/rulebooks/eberron-35--3/players-guide-to-eberron--13/
Chosen Weapon Specialization,/feats/players-guide-to-faerun--22/chosen-weapon-specialization--345/,,/rulebooks/forgotten-realms-35--4/players-guide-to-faerun--22/
Circle Kick,/feats/sword-and-fist-a-guidebook-to-monks-and-fighters--50/circle-kick--346/,Sword and Fist: A Guidebook to Monks and Fighters,/rulebooks/supplementals-30--7/sword-and-fist-a-guidebook-to-monks-and-fighters--50/
Circle Magic,/feats/ghostwalk--94/circle-magic--3477/,Ghostwalk,/rulebooks/supplementals-30--7/ghostwalk--94/
Circle Master,/feats/dragon-compendium--109/circle-master--3341/,Dragon Compendium,/rulebooks/supplementals-35--5/dragon-compendium--109/
Circle Student,/feats/dragon-compendium--109/circle-student--3340/,Dragon Compendium,/rulebooks/supplementals-35--5/dragon-compendium--109/
City Magic ,/feats/cityscape--53/city-magic--347/,CityScape,/rulebooks/supplementals-35--5/cityscape--53/
City Slicker,/feats/races-of-destiny--81/city-slicker--348/,Races of Destiny,/rulebooks/supplementals-35--5/races-of-destiny--81/
Clan Prestige,/feats/races-of-stone--82/clan-prestige--349/,Races of Stone,/rulebooks/supplementals-35--5/races-of-stone--82/
Clap of Thunder,/feats/complete-mage--58/clap-of-thunder--350/,Complete Mage,/rulebooks/supplementals-35--5/complete-mage--58/
Clarion Commander,/feats/tome-of-battle-the-book-of-nine-swords--88/clarion-commander--351/,Tome of Battle: The Book of Nine Swords,/rulebooks/supplementals-35--5/tome-of-battle-the-book-of-nine-swords--88/
Clarity of Vision,/feats/complete-scoundrel--60/clarity-vision--3278/,Complete Scoundrel,/rulebooks/supplementals-35--5/complete-scoundrel--60/
Claws of the Beast ,/feats/fiendish-codex-i-hordes-of-the-abyss--66/claws-of-the-beast--352/,Fiendish Codex I: Hordes of the Abyss,/rulebooks/supplementals-35--5/fiendish-codex-i-hordes-of-the-abyss--66/
Cleave,/feats/players-handbook-v35--6/cleave--354/,Player&#39;s Handbook v.3.5,/rulebooks/core-35--1/players-handbook-v35--6/
Clever Improviser,/feats/complete-scoundrel--60/clever-improviser--3279/,Complete Scoundrel,/rulebooks/supplementals-35--5/complete-scoundrel--60/
Clever Opportunist,/feats/drow-of-the-underdark--93/clever-opportunist--3326/,Drow of the Underdark,/rulebooks/supplementals-35--5/drow-of-the-underdark--93/
Clever Wrestling,/feats/complete-warrior--61/clever-wrestling--355/,Complete Warrior,/rulebooks/supplementals-35--5/complete-warrior--61/
Clever Wrestling,/feats/masters-of-the-wild-a-guidebook-to-barbarians-druids-and-rangers--44/clever-wrestling--356/,Masters of the Wild: A Guidebook to Barbarians, Druids, and Rangers,/rulebooks/supplementals-30--7/masters-of-the-wild-a-guidebook-to-barbarians-druids-and-rangers--44/
Clever Wrestling,/feats/stormwrack--87/clever-wrestling--357/,Stormwrack,/rulebooks/supplementals-35--5/stormwrack--87/
Clever Wrestling,/feats/draconomicon--92/clever-wrestling--3246/,Draconomicon,/rulebooks/supplementals-35--5/draconomicon--92/
Cliffwalk,/feats/eberron-campaign-setting--12/cliffwalk--358/,Eberron Campaign Setting,/rulebooks/eberron-35--3/eberron-campaign-setting--12/
Cliffwalk Elite,/feats/races-of-eberron--10/cliffwalk-elite--359/,Races of Eberron,/rulebooks/eberron-35--3/races-of-eberron--10/
Cliffwalk Elite,/feats/eberron-campaign-setting--12/cliffwalk-elite--3600/,Eberron Campaign Setting,/rulebooks/eberron-35--3/eberron-campaign-setting--12/
Climb like an Ape,/feats/complete-adventurer--54/climb-like-an-ape--360/,Complete Adventurer,/rulebooks/supplementals-35--5/complete-adventurer--54/
Clinging Breath,/feats/monster-manual-iv--77/clinging-breath--361/,Monster Manual IV,/rulebooks/supplementals-35--5/monster-manual-iv--77/
Clinging Breath,/feats/draconomicon--92/clinging-breath--3603/,Draconomicon,/rulebooks/supplementals-35--5/draconomicon--92/
Cloak Dance,/feats/expanded-psionics-handbook--65/cloak-dance--362/,Expanded Psionics Handbook,/rulebooks/supplementals-35--5/expanded-psionics-handbook--65/
Cloak of the Obyrith ,/feats/fiendish-codex-i-hordes-of-the-abyss--66/cloak-of-the-obyrith--363/,Fiendish Codex I: Hordes of the Abyss,/rulebooks/supplementals-35--5/fiendish-codex-i-hordes-of-the-abyss--66/
Close-Quarters Fighting,/feats/complete-warrior--61/close-quarters-fighting--365/,Complete Warrior,/rulebooks/supplementals-35--5/complete-warrior--61/
Close-Quarters Fighting,/feats/races-of-faerun--23/close-quarters-fighting--366/,Races of Faerun,/rulebooks/forgotten-realms-30--6/races-of-faerun--23/
Close-Quarters Fighting,/feats/sword-and-fist-a-guidebook-to-monks-and-fighters--50/close-quarters-fighting--367/,Sword and Fist: A Guidebook to Monks and Fighters,/rulebooks/supplementals-30--7/sword-and-fist-a-guidebook-to-monks-and-fighters--50/
Close-Quarters Fighting,/feats/draconomicon--92/close-quarters-fighting--3247/,Draconomicon,/rulebooks/supplementals-35--5/draconomicon--92/
Closed Mind,/feats/expanded-psionics-handbook--65/closed-mind--364/,Expanded Psionics Handbook,/rulebooks/supplementals-35--5/expanded-psionics-handbook--65/
Cloudy Conjuration,/feats/complete-mage--58/cloudy-conjuration--368/,Complete Mage,/rulebooks/supplementals-35--5/complete-mage--58/
Clutch of Earth,/feats/complete-mage--58/clutch-of-earth--369/,Complete Mage,/rulebooks/supplementals-35--5/complete-mage--58/
Cobalt Expertise,/feats/magic-of-incarnum--74/cobalt-expertise--372/,Magic of Incarnum,/rulebooks/supplementals-35--5/magic-of-incarnum--74/
Cobalt Power,/feats/magic-of-incarnum--74/cobalt-power--373/,Magic of Incarnum,/rulebooks/supplementals-35--5/magic-of-incarnum--74/
Cobalt Rage,/feats/magic-of-incarnum--74/cobalt-rage--375/,Magic of Incarnum,/rulebooks/supplementals-35--5/magic-of-incarnum--74/
Cobolt Charge,/feats/magic-of-incarnum--74/cobolt-charge--370/,Magic of Incarnum,/rulebooks/supplementals-35--5/magic-of-incarnum--74/
Cobolt Critical,/feats/magic-of-incarnum--74/cobolt-critical--371/,Magic of Incarnum,/rulebooks/supplementals-35--5/magic-of-incarnum--74/
Cobolt Precision,/feats/magic-of-incarnum--74/cobolt-precision--374/,Magic of Incarnum,/rulebooks/supplementals-35--5/magic-of-incarnum--74/
Cobra Head,/feats/serpent-kingdoms--24/cobra-head--376/,Serpent Kingdoms,/rulebooks/forgotten-realms-35--4/serpent-kingdoms--24/
Coercive Spell,/feats/drow-of-the-underdark--93/coercive-spell--3327/,Drow of the Underdark,/rulebooks/supplementals-35--5/drow-of-the-underdark--93/
Cold Endurance,/feats/frostburn--68/cold-endurance--377/,Frostburn,/rulebooks/supplementals-35--5/frostburn--68/
Cold Endurance,/feats/secrets-of-sarlona--14/cold-endurance--378/,Secrets of Sarlona,/rulebooks/eberron-35--3/secrets-of-sarlona--14/
Cold Focus,/feats/frostburn--68/cold-focus--379/,Frostburn,/rulebooks/supplementals-35--5/frostburn--68/
Cold Iron Tracery,/feats/races-of-eberron--10/cold-iron-tracery--380/,Races of Eberron,/rulebooks/eberron-35--3/races-of-eberron--10/
Cold Spell Specialization,/feats/frostburn--68/cold-spell-specialization--381/,Frostburn,/rulebooks/supplementals-35--5/frostburn--68/
Collector of Stories,/feats/complete-scoundrel--60/collector-stories--3280/,Complete Scoundrel,/rulebooks/supplementals-35--5/complete-scoundrel--60/
Collegiate Wizard,/feats/complete-arcane--55/collegiate-wizard--382/,Complete Arcane,/rulebooks/supplementals-35--5/complete-arcane--55/
Colossal Wild Shape,/feats/epic-level-handbook--41/colossal-wild-shape--383/,Epic Level Handbook,/rulebooks/supplementals-30--7/epic-level-handbook--41/
Combat Acrobat,/feats/players-handbook-ii--80/combat-acrobat--384/,Player&#39;s Handbook II,/rulebooks/supplementals-35--5/players-handbook-ii--80/
Combat Archery,/feats/complete-warrior--61/combat-archery--385/,Complete Warrior,/rulebooks/supplementals-35--5/complete-warrior--61/
Combat Archery,/feats/epic-level-handbook--41/combat-archery--386/,Epic Level Handbook,/rulebooks/supplementals-30--7/epic-level-handbook--41/
Combat Awareness,/feats/unearthed-arcana--90/combat-awareness--387/,Unearthed Arcana,/rulebooks/supplementals-35--5/unearthed-arcana--90/
Combat Awareness,/feats/players-handbook-ii--80/combat-awareness--388/,Player&#39;s Handbook II,/rulebooks/supplementals-35--5/players-handbook-ii--80/
Combat Brute,/feats/complete-warrior--61/combat-brute--389/,Complete Warrior,/rulebooks/supplementals-35--5/complete-warrior--61/
Combat Casting,/feats/players-handbook-v35--6/combat-casting--391/,Player&#39;s Handbook v.3.5,/rulebooks/core-35--1/players-handbook-v35--6/
Combat Charm,/feats/dragon-compendium--109/combat-charm--3342/,Dragon Compendium,/rulebooks/supplementals-35--5/dragon-compendium--109/
Combat Cloak Expert,/feats/players-handbook-ii--80/combat-cloak-expert--392/,Player&#39;s Handbook II,/rulebooks/supplementals-35--5/players-handbook-ii--80/
Combat Defense,/feats/players-handbook-ii--80/combat-defense--393/,Player&#39;s Handbook II,/rulebooks/supplementals-35--5/players-handbook-ii--80/
Combat Expertise,/feats/players-handbook-v35--6/combat-expertise--394/,Player&#39;s Handbook v.3.5,/rulebooks/core-35--1/players-handbook-v35--6/
Combat Familiar,/feats/players-handbook-ii--80/combat-familiar--395/,Player&#39;s Handbook II,/rulebooks/supplementals-35--5/players-handbook-ii--80/
Combat Focus,/feats/players-handbook-ii--80/combat-focus--396/,Player&#39;s Handbook II,/rulebooks/supplementals-35--5/players-handbook-ii--80/
Combat Insight,/feats/complete-warrior--61/combat-insight--397/,Complete Warrior,/rulebooks/supplementals-35--5/complete-warrior--61/
Combat Intuition,/feats/complete-adventurer--54/combat-intuition--398/,Complete Adventurer,/rulebooks/supplementals-35--5/complete-adventurer--54/
Combat Manifestation,/feats/psionics-handbook-30--46/combat-manifestation--399/,Psionics Handbook 3.0,/rulebooks/supplementals-30--7/psionics-handbook-30--46/
Combat Manifestation,/feats/expanded-psionics-handbook--65/combat-manifestation--400/,Expanded Psionics Handbook,/rulebooks/supplementals-35--5/expanded-psionics-handbook--65/
Combat Panache,/feats/players-handbook-ii--80/combat-panache--401/,Player&#39;s Handbook II,/rulebooks/supplementals-35--5/players-handbook-ii--80/
Combat Reflexes,/feats/players-handbook-v35--6/combat-reflexes--403/,Player&#39;s Handbook v.3.5,/rulebooks/core-35--1/players-handbook-v35--6/
Combat Stability,/feats/players-handbook-ii--80/combat-stability--404/,Player&#39;s Handbook II,/rulebooks/supplementals-35--5/players-handbook-ii--80/
Combat Strike,/feats/players-handbook-ii--80/combat-strike--405/,Player&#39;s Handbook II,/rulebooks/supplementals-35--5/players-handbook-ii--80/
Combat Tactician,/feats/players-handbook-ii--80/combat-tactician--406/,Player&#39;s Handbook II,/rulebooks/supplementals-35--5/players-handbook-ii--80/
Combat Tinkering,/feats/dungeonscape--63/combat-tinkering--407/,Dungeonscape,/rulebooks/supplementals-35--5/dungeonscape--63/
Combat Vigor,/feats/players-handbook-ii--80/combat-vigor--408/,Player&#39;s Handbook II,/rulebooks/supplementals-35--5/players-handbook-ii--80/
Cometary Collision,/feats/players-handbook-ii--80/cometary-collision--409/,Player&#39;s Handbook II,/rulebooks/supplementals-35--5/players-handbook-ii--80/
Commanding,/feats/dragon-compendium--109/commanding--3343/,Dragon Compendium,/rulebooks/supplementals-35--5/dragon-compendium--109/
Communicator,/feats/complete-arcane--55/communicator--410/,Complete Arcane,/rulebooks/supplementals-35--5/complete-arcane--55/
Companion Spellbond,/feats/players-handbook-ii--80/companion-spellbond--411/,Player&#39;s Handbook II,/rulebooks/supplementals-35--5/players-handbook-ii--80/
Complementary Insight,/feats/races-of-destiny--81/complementary-insight--412/,Races of Destiny,/rulebooks/supplementals-35--5/races-of-destiny--81/
Conceal Spellcasting,/feats/complete-scoundrel--60/conceal-spellcasting--3281/,Complete Scoundrel,/rulebooks/supplementals-35--5/complete-scoundrel--60/
Concussion Attack,/feats/complete-scoundrel--60/concussion-attack--413/,Complete Scoundrel,/rulebooks/supplementals-35--5/complete-scoundrel--60/
Conductivity,/feats/unearthed-arcana--90/conductivity--414/,Unearthed Arcana,/rulebooks/supplementals-35--5/unearthed-arcana--90/
Confound the Big Folk,/feats/races-of-the-wild--84/confound-the-big-folk--415/,Races of the Wild,/rulebooks/supplementals-35--5/races-of-the-wild--84/
Consecrate Spell,/feats/book-of-exalted-deeds--52/consecrate-spell--416/,Book of Exalted Deeds,/rulebooks/supplementals-35--5/book-of-exalted-deeds--52/
Consecrate Spell,/feats/complete-divine--56/consecrate-spell--417/,Complete Divine,/rulebooks/supplementals-35--5/complete-divine--56/
Consecrate Spell Like Ability,/feats/book-of-exalted-deeds--52/consecrate-spell-like-ability--418/,Book of Exalted Deeds,/rulebooks/supplementals-35--5/book-of-exalted-deeds--52/
Consecrate Spell Trigger,/feats/book-of-exalted-deeds--52/consecrate-spell-trigger--419/,Book of Exalted Deeds,/rulebooks/supplementals-35--5/book-of-exalted-deeds--52/
Consecrate Spell-Like Ability,/feats/book-of-exalted-deeds--52/consecrate-spell-like-ability--3187/,Book of Exalted Deeds,/rulebooks/supplementals-35--5/book-of-exalted-deeds--52/
Constant Guardian,/feats/drow-of-the-underdark--93/constant-guardian--3328/,Drow of the Underdark,/rulebooks/supplementals-35--5/drow-of-the-underdark--93/
Construct Grafter,/feats/faiths-of-eberron--8/construct-grafter--420/,Faiths of Eberron,/rulebooks/eberron-35--3/faiths-of-eberron--8/
Construct Lock,/feats/races-of-eberron--10/construct-lock--421/,Races of Eberron,/rulebooks/eberron-35--3/races-of-eberron--10/
Contagious Paralysis,/feats/libris-mortis-the-book-of-the-dead--71/contagious-paralysis--422/,Libris Mortis: The Book of the Dead,/rulebooks/supplementals-35--5/libris-mortis-the-book-of-the-dead--71/
Control Visage,/feats/ghostwalk--94/control-visage--3468/,Ghostwalk,/rulebooks/supplementals-30--7/ghostwalk--94/
Controlled Immolation,/feats/unearthed-arcana--90/controlled-immolation--423/,Unearthed Arcana,/rulebooks/supplementals-35--5/unearthed-arcana--90/
Controlled Respiration,/feats/savage-species--47/controlled-respiration--424/,Savage Species,/rulebooks/supplementals-30--7/savage-species--47/
Cool Head,/feats/oriental-adventures--96/cool-head--3667/,Oriental Adventures,/rulebooks/oriental-adventures--8/oriental-adventures--96/
Cool Head (CS),/feats/complete-scoundrel--60/cool-head-cs--425/,Complete Scoundrel,/rulebooks/supplementals-35--5/complete-scoundrel--60/
Cooperative Spell,/feats/complete-arcane--55/cooperative-spell--426/,Complete Arcane,/rulebooks/supplementals-35--5/complete-arcane--55/
Cooperative Spell,/feats/tome-and-blood-a-guidebook-to-wizards-and-sorcerers--51/cooperative-spell--427/,Tome and Blood: A Guidebook to Wizards and Sorcerers,/rulebooks/supplementals-30--7/tome-and-blood-a-guidebook-to-wizards-and-sorcerers--51/
Coordinated Shot,/feats/heroes-of-battle--69/coordinated-shot--428/,Heroes of Battle,/rulebooks/supplementals-35--5/heroes-of-battle--69/
Coordinated Strike,/feats/races-of-the-wild--84/coordinated-strike--429/,Races of the Wild,/rulebooks/supplementals-35--5/races-of-the-wild--84/
Copper Dragon Lineage ,/feats/dragon-magic--62/copper-dragon-lineage--430/,Dragon Magic,/rulebooks/supplementals-35--5/dragon-magic--62/
Cormanthyran Moon Magic,/feats/lost-empires-of-faerun--30/cormanthyran-moon-magic--431/,Lost Empires of Faerun,/rulebooks/forgotten-realms-35--4/lost-empires-of-faerun--30/
Corner Perch,/feats/complete-scoundrel--60/corner-perch--3282/,Complete Scoundrel,/rulebooks/supplementals-35--5/complete-scoundrel--60/
Cornered Rat,/feats/dragonlance-campaign-setting--98/cornered-rat--3610/,Dragonlance Campaign Setting,/rulebooks/dragonlance--9/dragonlance-campaign-setting--98/
Corpse Malevolence,/feats/ghostwalk--94/corpse-malevolence--3478/,Ghostwalk,/rulebooks/supplementals-30--7/ghostwalk--94/
Corpsecrafter,/feats/libris-mortis-the-book-of-the-dead--71/corpsecrafter--432/,Libris Mortis: The Book of the Dead,/rulebooks/supplementals-35--5/libris-mortis-the-book-of-the-dead--71/
Corrupt Arcana,/feats/heroes-of-horror--70/corrupt-arcana--433/,Heroes of Horror,/rulebooks/supplementals-35--5/heroes-of-horror--70/
Corrupt Arcane Studies,/feats/ghostwalk--94/corrupt-arcane-studies--3479/,Ghostwalk,/rulebooks/supplementals-30--7/ghostwalk--94/
Corrupt Spell,/feats/book-of-vile-darkness--37/corrupt-spell--434/,Book of Vile Darkness,/rulebooks/supplementals-30--7/book-of-vile-darkness--37/
Corrupt Spell,/feats/complete-divine--56/corrupt-spell--435/,Complete Divine,/rulebooks/supplementals-35--5/complete-divine--56/
Corrupt Spell,/feats/champions-of-ruin--27/corrupt-spell--436/,Champions of Ruin,/rulebooks/forgotten-realms-35--4/champions-of-ruin--27/
Corrupt Spell Focus,/feats/heroes-of-horror--70/corrupt-spell-focus--437/,Heroes of Horror,/rulebooks/supplementals-35--5/heroes-of-horror--70/
Corrupt Spell-Like Ability,/feats/book-of-vile-darkness--37/corrupt-spell-like-ability--438/,Book of Vile Darkness,/rulebooks/supplementals-30--7/book-of-vile-darkness--37/
Corrupted Wild Shape,/feats/libris-mortis-the-book-of-the-dead--71/corrupted-wild-shape--439/,Libris Mortis: The Book of the Dead,/rulebooks/supplementals-35--5/libris-mortis-the-book-of-the-dead--71/
Corrupting Touch,/feats/ghostwalk--94/corrupting-touch--3469/,Ghostwalk,/rulebooks/supplementals-30--7/ghostwalk--94/
Cosmopolitan,/feats/forgotten-realms-campaign-setting--19/cosmopolitan--440/,Forgotten Realms Campaign Setting,/rulebooks/forgotten-realms-30--6/forgotten-realms-campaign-setting--19/
Cosmopolitan,/feats/players-guide-to-faerun--22/cosmopolitan--441/,,/rulebooks/forgotten-realms-35--4/players-guide-to-faerun--22/
Cougar&#39;s Vision,/feats/complete-adventurer--54/cougars-vision--442/,Complete Adventurer,/rulebooks/supplementals-35--5/complete-adventurer--54/
Courageous Rally,/feats/heroes-of-battle--69/courageous-rally--443/,Heroes of Battle,/rulebooks/supplementals-35--5/heroes-of-battle--69/
Courteous Magocracy,/feats/forgotten-realms-campaign-setting--19/courteous-magocracy--444/,Forgotten Realms Campaign Setting,/rulebooks/forgotten-realms-30--6/forgotten-realms-campaign-setting--19/
Cover Your Tracks,/feats/shining-south--25/cover-your-tracks--445/,Shining South,/rulebooks/forgotten-realms-35--4/shining-south--25/
Craft Aboleth Glyph,/feats/lords-of-madness--72/craft-aboleth-glyph--446/,Lords of Madness,/rulebooks/supplementals-35--5/lords-of-madness--72/
Craft Alchemical item,/feats/unearthed-arcana--90/craft-alchemical-item--447/,Unearthed Arcana,/rulebooks/supplementals-35--5/unearthed-arcana--90/
Craft Cognizance Crystal,/feats/expanded-psionics-handbook--65/craft-cognizance-crystal--448/,Expanded Psionics Handbook,/rulebooks/supplementals-35--5/expanded-psionics-handbook--65/
Craft Construct,/feats/monster-manual-iv--77/craft-construct--449/,Monster Manual IV,/rulebooks/supplementals-35--5/monster-manual-iv--77/
Craft Construct,/feats/monster-manual-iii--76/craft-construct--450/,Monster Manual III,/rulebooks/supplementals-35--5/monster-manual-iii--76/
Craft Construct,/feats/monster-manual-v35--5/craft-construct--451/,Monster Manual v.3.5,/rulebooks/core-35--1/monster-manual-v35--5/
Craft Contingent Spell,/feats/complete-arcane--55/craft-contingent-spell--452/,Complete Arcane,/rulebooks/supplementals-35--5/complete-arcane--55/
Craft Contingent Spell,/feats/unapproachable-east--33/craft-contingent-spell--453/,Unapproachable East,/rulebooks/forgotten-realms-30--6/unapproachable-east--33/
Craft Crystal Capacitor,/feats/psionics-handbook-30--46/craft-crystal-capacitor--454/,Psionics Handbook 3.0,/rulebooks/supplementals-30--7/psionics-handbook-30--46/
Craft Crystal Weapon,/feats/oriental-adventures--96/craft-crystal-weapon--3668/,Oriental Adventures,/rulebooks/oriental-adventures--8/oriental-adventures--96/
Craft Dorje,/feats/psionics-handbook-30--46/craft-dorje--455/,Psionics Handbook 3.0,/rulebooks/supplementals-30--7/psionics-handbook-30--46/
Craft Dorje,/feats/expanded-psionics-handbook--65/craft-dorje--456/,Expanded Psionics Handbook,/rulebooks/supplementals-35--5/expanded-psionics-handbook--65/
Craft Epic Magic Arms and Armor,/feats/epic-level-handbook--41/craft-epic-magic-arms-and-armor--457/,Epic Level Handbook,/rulebooks/supplementals-30--7/epic-level-handbook--41/
Craft Epic Rod,/feats/epic-level-handbook--41/craft-epic-rod--458/,Epic Level Handbook,/rulebooks/supplementals-30--7/epic-level-handbook--41/
Craft Epic Staff,/feats/epic-level-handbook--41/craft-epic-staff--459/,Epic Level Handbook,/rulebooks/supplementals-30--7/epic-level-handbook--41/
Craft Epic Wondrous Item,/feats/epic-level-handbook--41/craft-epic-wondrous-item--460/,Epic Level Handbook,/rulebooks/supplementals-30--7/epic-level-handbook--41/
Craft Magic Arms and Armor,/feats/players-handbook-v35--6/craft-magic-arms-and-armor--462/,Player&#39;s Handbook v.3.5,/rulebooks/core-35--1/players-handbook-v35--6/
Craft Masterwork Armor,/feats/unearthed-arcana--90/craft-masterwork-armor--463/,Unearthed Arcana,/rulebooks/supplementals-35--5/unearthed-arcana--90/
Craft Masterwork Ranged Weapon,/feats/unearthed-arcana--90/craft-masterwork-ranged-weapon--464/,Unearthed Arcana,/rulebooks/supplementals-35--5/unearthed-arcana--90/
Craft Masterwork Weapon,/feats/unearthed-arcana--90/craft-masterwork-weapon--465/,Unearthed Arcana,/rulebooks/supplementals-35--5/unearthed-arcana--90/
Craft Psicrown,/feats/expanded-psionics-handbook--65/craft-psicrown--466/,Expanded Psionics Handbook,/rulebooks/supplementals-35--5/expanded-psionics-handbook--65/
Craft Psionic Arms and Armor,/feats/psionics-handbook-30--46/craft-psionic-arms-and-armor--467/,Psionics Handbook 3.0,/rulebooks/supplementals-30--7/psionics-handbook-30--46/
Craft Psionic Arms and Armor,/feats/expanded-psionics-handbook--65/craft-psionic-arms-and-armor--468/,Expanded Psionics Handbook,/rulebooks/supplementals-35--5/expanded-psionics-handbook--65/
Craft Psionic Construct,/feats/expanded-psionics-handbook--65/craft-psionic-construct--469/,Expanded Psionics Handbook,/rulebooks/supplementals-35--5/expanded-psionics-handbook--65/
Craft Psionic Seal,/feats/lords-of-madness--72/craft-psionic-seal--470/,Lords of Madness,/rulebooks/supplementals-35--5/lords-of-madness--72/
