id,name,link,isPrestige,book,bookLink
178,Deepstone Sentinel,/classes/tome-of-battle-the-book-of-nine-swords--88/deepstone-sentinel/,true,Tome of Battle: The Book of Nine Swords,/rulebooks/supplementals-35--5/tome-of-battle-the-book-of-nine-swords--88/
179,Deepwarden,/classes/races-of-stone--82/deepwarden/,true,Races of Stone,/rulebooks/supplementals-35--5/races-of-stone--82/
180,Deepwood Sniper,/classes/masters-of-the-wild-a-guidebook-to-barbarians-druids-and-rangers--44/deepwood-sniper/,true,Masters of the Wild: A Guidebook to Barbarians Druids and Rangers,/rulebooks/supplementals-30--7/masters-of-the-wild-a-guidebook-to-barbarians-druids-and-rangers--44/
181,Defender of Sealtiel,/classes/book-of-exalted-deeds--52/defender-of-sealtiel/,true,Book of Exalted Deeds,/rulebooks/supplementals-35--5/book-of-exalted-deeds--52/
182,Defiant,/classes/planar-handbook--79/defiant/,true,Planar Handbook,/rulebooks/supplementals-35--5/planar-handbook--79/
183,Demonbinder,/classes/drow-of-the-underdark--93/demonbinder/,true,Drow of the Underdark,/rulebooks/supplementals-35--5/drow-of-the-underdark--93/
184,Demonologist,/classes/book-of-vile-darkness--37/demonologist/,true,Book of Vile Darkness,/rulebooks/supplementals-30--7/book-of-vile-darkness--37/
185,Demonwrecker,/classes/expedition-to-the-demonweb-pits--99/demonwrecker/,true,Expedition to the Demonweb Pits,/rulebooks/supplementals-35--5/expedition-to-the-demonweb-pits--99/
186,Demonwrecker Arcane,/classes/expedition-to-the-demonweb-pits--99/demonwrecker-arcane/,true,Expedition to the Demonweb Pits,/rulebooks/supplementals-35--5/expedition-to-the-demonweb-pits--99/
187,Deneith Warden,/classes/dragonmarked--7/deneith-warden/,true,Dragonmarked,/rulebooks/eberron-35--3/dragonmarked--7/
188,Dervish,/classes/complete-warrior--61/dervish/,true,Complete Warrior,/rulebooks/supplementals-35--5/complete-warrior--61/
189,Devoted Defender,/classes/sword-and-fist-a-guidebook-to-monks-and-fighters--50/devoted-defender/,true,Sword and Fist: A Guidebook to Monks and Fighters,/rulebooks/supplementals-30--7/sword-and-fist-a-guidebook-to-monks-and-fighters--50/
190,Diabolist,/classes/book-of-vile-darkness--37/diabolist/,true,Book of Vile Darkness,/rulebooks/supplementals-30--7/book-of-vile-darkness--37/
191,Diamond Dragon,/classes/dragon-magic--62/diamond-dragon/,true,Dragon Magic,/rulebooks/supplementals-35--5/dragon-magic--62/
192,Dirgesinger,/classes/libris-mortis-the-book-of-the-dead--71/dirgesinger/,true,Libris Mortis: The Book of the Dead,/rulebooks/supplementals-35--5/libris-mortis-the-book-of-the-dead--71/
193,Disciple of Ashardalon,/classes/draconomicon--92/disciple-of-ashardalon/,true,Draconomicon,/rulebooks/supplementals-35--5/draconomicon--92/
194,Disciple of Asmodeus,/classes/book-of-vile-darkness--37/disciple-of-asmodeus/,true,Book of Vile Darkness,/rulebooks/supplementals-30--7/book-of-vile-darkness--37/
195,Disciple of Baalzebul,/classes/book-of-vile-darkness--37/disciple-of-baalzebul/,true,Book of Vile Darkness,/rulebooks/supplementals-30--7/book-of-vile-darkness--37/
196,Disciple of Dispater,/classes/book-of-vile-darkness--37/disciple-of-dispater/,true,Book of Vile Darkness,/rulebooks/supplementals-30--7/book-of-vile-darkness--37/
197,Disciple of Mammon,/classes/book-of-vile-darkness--37/disciple-of-mammon/,true,Book of Vile Darkness,/rulebooks/supplementals-30--7/book-of-vile-darkness--37/
198,Disciple of Mephistopheles,/classes/book-of-vile-darkness--37/disciple-of-mephistopheles/,true,Book of Vile Darkness,/rulebooks/supplementals-30--7/book-of-vile-darkness--37/
199,Disciple of the Eye,/classes/races-of-the-dragon--83/disciple-of-the-eye/,true,Races of the Dragon,/rulebooks/supplementals-35--5/races-of-the-dragon--83/
200,Disciple of the Word,/classes/tome-of-magic--89/disciple-of-the-word/,true,Tome of Magic,/rulebooks/supplementals-35--5/tome-of-magic--89/
201,Disciple of Thrym,/classes/frostburn--68/disciple-of-thrym/,true,Frostburn,/rulebooks/supplementals-35--5/frostburn--68/
202,Dispassionate Watcher of Chronepsis,/classes/draconomicon--92/dispassionate-watcher-of-chronepsis/,true,Draconomicon,/rulebooks/supplementals-35--5/draconomicon--92/
203,Divine Agent,/classes/manual-of-the-planes--43/divine-agent/,true,Manual of the Planes,/rulebooks/supplementals-30--7/manual-of-the-planes--43/
204,Divine Bard,/classes/unearthed-arcana--90/divine-bard/,false,Unearthed Arcana,/rulebooks/supplementals-35--5/unearthed-arcana--90/
205,Divine Champion,/classes/forgotten-realms-campaign-setting--19/divine-champion/,true,Forgotten Realms Campaign Setting,/rulebooks/forgotten-realms-30--6/forgotten-realms-campaign-setting--19/
206,Divine Champion,/classes/players-guide-to-faerun--22/divine-champion/,true,/rulebooks/forgotten-realms-35--4/players-guide-to-faerun--22/
207,Divine Crusader,/classes/complete-divine--56/divine-crusader/,true,Complete Divine,/rulebooks/supplementals-35--5/complete-divine--56/
208,Divine Disciple,/classes/forgotten-realms-campaign-setting--19/divine-disciple/,true,Forgotten Realms Campaign Setting,/rulebooks/forgotten-realms-30--6/forgotten-realms-campaign-setting--19/
209,Divine Disciple,/classes/players-guide-to-faerun--22/divine-disciple/,true,/rulebooks/forgotten-realms-35--4/players-guide-to-faerun--22/
210,Divine Emissary,/classes/epic-level-handbook--41/divine-emissary/,true,Epic Level Handbook,/rulebooks/supplementals-30--7/epic-level-handbook--41/
211,Divine Mind,/classes/complete-psionic--59/divine-mind/,false,Complete Psionic,/rulebooks/supplementals-35--5/complete-psionic--59/
212,Divine Oracle,/classes/complete-divine--56/divine-oracle/,true,Complete Divine,/rulebooks/supplementals-35--5/complete-divine--56/
213,Divine Oracle,/classes/defenders-of-the-faith-a-guidebook-to-clerics-and-paladins--38/divine-oracle/,true,Defenders of the Faith: A Guidebook to Clerics and Paladins,/rulebooks/supplementals-30--7/defenders-of-the-faith-a-guidebook-to-clerics-and-paladins--38/
214,Divine Prankster,/classes/races-of-stone--82/divine-prankster/,true,Races of Stone,/rulebooks/supplementals-35--5/races-of-stone--82/
215,Divine Seeker,/classes/forgotten-realms-campaign-setting--19/divine-seeker/,true,Forgotten Realms Campaign Setting,/rulebooks/forgotten-realms-30--6/forgotten-realms-campaign-setting--19/
216,Divine Seeker,/classes/players-guide-to-faerun--22/divine-seeker/,true,/rulebooks/forgotten-realms-35--4/players-guide-to-faerun--22/
217,Diviner Variant,/classes/unearthed-arcana--90/diviner-variant/,false,Unearthed Arcana,/rulebooks/supplementals-35--5/unearthed-arcana--90/
218,Domain Wizard,/classes/unearthed-arcana--90/domain-wizard/,false,Unearthed Arcana,/rulebooks/supplementals-35--5/unearthed-arcana--90/
219,Doomdreamer,/classes/return-to-the-temple-of-elemental-evil--103/doomdreamer/,true,Return to the Temple of Elemental Evil,/rulebooks/supplementals-30--7/return-to-the-temple-of-elemental-evil--103/
220,Doomguide,/classes/faiths-pantheons--18/doomguide/,true,Faiths &amp; Pantheons,/rulebooks/forgotten-realms-30--6/faiths-pantheons--18/
221,Doomlord,/classes/planar-handbook--79/doomlord/true,Planar Handbook,/rulebooks/supplementals-35--5/planar-handbook--79/
222,Dracolexi,/classes/races-of-the-dragon--83/dracolexi/,true,Races of the Dragon,/rulebooks/supplementals-35--5/races-of-the-dragon--83/
223,Dracolyte,/classes/draconomicon--92/dracolyte/,true,Draconomicon,/rulebooks/supplementals-35--5/draconomicon--92/
224,Dragon Ascendant,/classes/draconomicon--92/dragon-ascendant/,true,Draconomicon,/rulebooks/supplementals-35--5/draconomicon--92/
225,Dragon Descendant,/classes/dragon-magic--62/dragon-descendant/,true,Dragon Magic,/rulebooks/supplementals-35--5/dragon-magic--62/
226,Dragon Devotee,/classes/races-of-the-dragon--83/dragon-devotee/,true,Races of the Dragon,/rulebooks/supplementals-35--5/races-of-the-dragon--83/
227,Dragon Disciple,/classes/dungeon-masters-guide-v35--4/dragon-disciple/,true,Dungeon Master&#39;s Guide v.3.5,/rulebooks/core-35--1/dungeon-masters-guide-v35--4/
228,Dragon Disciple,/classes/tome-and-blood-a-guidebook-to-wizards-and-sorcerers--51/dragon-disciple/,true,Tome and Blood: A Guidebook to Wizards and Sorcerers,/rulebooks/supplementals-30--7/tome-and-blood-a-guidebook-to-wizards-and-sorcerers--51/
229,Dragon Lord,/classes/dragon-magic--62/dragon-lord/,true,Dragon Magic,/rulebooks/supplementals-35--5/dragon-magic--62/
230,Dragon Prophet,/classes/magic-of-eberron--9/dragon-prophet/,true,Magic of Eberron,/rulebooks/eberron-35--3/magic-of-eberron--9/
231,Dragon Rider,/classes/dragonlance-campaign-setting--98/dragon-rider/,true,Dragonlance Campaign Setting,/rulebooks/dragonlance--9/dragonlance-campaign-setting--98/
232,Dragon Samurai,/classes/miniatures-handbook--75/dragon-samurai/,true,Miniatures Handbook,/rulebooks/supplementals-35--5/miniatures-handbook--75/
233,Dragon Shaman,/classes/players-handbook-ii--80/dragon-shaman/,false,Player&#39;s Handbook II,/rulebooks/supplementals-35--5/players-handbook-ii--80/
234,Dragonfire Adept,/classes/dragon-magic--62/dragonfire-adept/,false,Dragon Magic,/rulebooks/supplementals-35--5/dragon-magic--62/
235,Dragonheart Mage,/classes/races-of-the-dragon--83/dragonheart-mage/,true,Races of the Dragon,/rulebooks/supplementals-35--5/races-of-the-dragon--83/
236,Dragonkith,/classes/draconomicon--92/dragonkith/,true,Draconomicon,/rulebooks/supplementals-35--5/draconomicon--92/
237,Dragonmark Heir,/classes/eberron-campaign-setting--12/dragonmark-heir/,true,Eberron Campaign Setting,/rulebooks/eberron-35--3/eberron-campaign-setting--12/
238,Dragonrider,/classes/draconomicon--92/dragonrider/,true,Draconomicon,/rulebooks/supplementals-35--5/draconomicon--92/
239,Dragonslayer,/classes/draconomicon--92/dragonslayer/,true,Draconomicon,/rulebooks/supplementals-35--5/draconomicon--92/
240,Dragonsong Lyrist,/classes/draconomicon--92/dragonsong-lyrist/,true,Draconomicon,/rulebooks/supplementals-35--5/draconomicon--92/
241,Dragonstalker,/classes/draconomicon--92/dragonstalker/,true,Draconomicon,/rulebooks/supplementals-35--5/draconomicon--92/
242,Dread Commando,/classes/heroes-of-battle--69/dread-commando/,true,Heroes of Battle,/rulebooks/supplementals-35--5/heroes-of-battle--69/
243,Dread Fang of Lolth,/classes/drow-of-the-underdark--93/dread-fang-of-lolth/,true,Drow of the Underdark,/rulebooks/supplementals-35--5/drow-of-the-underdark--93/
244,Dread Necromancer,/classes/heroes-of-horror--70/dread-necromancer/,false,Heroes of Horror,/rulebooks/supplementals-35--5/heroes-of-horror--70/
245,Dread Pirate,/classes/complete-adventurer--54/dread-pirate/,true,Complete Adventurer,/rulebooks/supplementals-35--5/complete-adventurer--54/
246,Dread Pirate,/classes/song-and-silence-a-guidebook-to-bards-and-rogues--48/dread-pirate/,true,Song and Silence: A Guidebook to Bards and Rogues,/rulebooks/supplementals-30--7/song-and-silence-a-guidebook-to-bards-and-rogues--48/
247,Dread Witch,/classes/heroes-of-horror--70/dread-witch/,true,Heroes of Horror,/rulebooks/supplementals-35--5/heroes-of-horror--70/
248,Dreadmaster,/classes/faiths-pantheons--18/dreadmaster/,true,Faiths &amp; Pantheons,/rulebooks/forgotten-realms-30--6/faiths-pantheons--18/
249,Drow Judicator,/classes/underdark--34/drow-judicator/,true,Underdark,/rulebooks/forgotten-realms-35--4/underdark--34/
250,Druid,/classes/eberron-campaign-setting--12/druid/,false,Eberron Campaign Setting,/rulebooks/eberron-35--3/eberron-campaign-setting--12/
251,Druid,/classes/forgotten-realms-campaign-setting--19/druid/,false,Forgotten Realms Campaign Setting,/rulebooks/forgotten-realms-30--6/forgotten-realms-campaign-setting--19/
252,Druid,/classes/players-handbook-v35--6/druid/,false,Player&#39;s Handbook v.3.5,/rulebooks/core-35--1/players-handbook-v35--6/
253,Druid,/classes/sandstorm--85/druid/,false,Sandstorm,/rulebooks/supplementals-35--5/sandstorm--85/
254,Druid Variant,/classes/unearthed-arcana--90/druid-variant/,false,Unearthed Arcana,/rulebooks/supplementals-35--5/unearthed-arcana--90/
255,Druidic Avenger,/classes/unearthed-arcana--90/druidic-avenger/,false,Unearthed Arcana,/rulebooks/supplementals-35--5/unearthed-arcana--90/
256,Drunken Master,/classes/complete-warrior--61/drunken-master/,true,Complete Warrior,/rulebooks/supplementals-35--5/complete-warrior--61/
257,Drunken Master,/classes/sword-and-fist-a-guidebook-to-monks-and-fighters--50/drunken-master/,true,Sword and Fist: A Guidebook to Monks and Fighters,/rulebooks/supplementals-30--7/sword-and-fist-a-guidebook-to-monks-and-fighters--50/
258,Duelist,/classes/dungeon-masters-guide-v35--4/duelist/,true,Dungeon Master&#39;s Guide v.3.5,/rulebooks/core-35--1/dungeon-masters-guide-v35--4/
259,Duelist,/classes/sword-and-fist-a-guidebook-to-monks-and-fighters--50/duelist/,true,Sword and Fist: A Guidebook to Monks and Fighters,/rulebooks/supplementals-30--7/sword-and-fist-a-guidebook-to-monks-and-fighters--50/
260,Duergar Racial Class,/classes/complete-psionic--59/duergar-racial-class/,false,Complete Psionic,/rulebooks/supplementals-35--5/complete-psionic--59/
261,Dukar,/classes/champions-of-ruin--27/dukar/,false,Champions of Ruin,/rulebooks/forgotten-realms-35--4/champions-of-ruin--27/
262,Dungeon Delver,/classes/complete-adventurer--54/dungeon-delver/,true,Complete Adventurer,/rulebooks/supplementals-35--5/complete-adventurer--54/
263,Dungeon Delver,/classes/song-and-silence-a-guidebook-to-bards-and-rogues--48/dungeon-delver/,true,Song and Silence: A Guidebook to Bards and Rogues,/rulebooks/supplementals-30--7/song-and-silence-a-guidebook-to-bards-and-rogues--48/
264,Dungeon Lord,/classes/dungeonscape--63/dungeon-lord/,true,Dungeonscape,/rulebooks/supplementals-35--5/dungeonscape--63/
265,Duraak&#39;ash,/classes/dragonmarked--7/duraakash/,true,Dragonmarked,/rulebooks/eberron-35--3/dragonmarked--7/
266,Durthan,/classes/unapproachable-east--33/durthan/,true,Unapproachable East,/rulebooks/forgotten-realms-30--6/unapproachable-east--33/
267,Duskblade,/classes/players-handbook-ii--80/duskblade/,false,Player&#39;s Handbook II,/rulebooks/supplementals-35--5/players-handbook-ii--80/
268,Dwarven Defender,/classes/dungeon-masters-guide-v35--4/dwarven-defender/,true,Dungeon Master&#39;s Guide v.3.5,/rulebooks/core-35--1/dungeon-masters-guide-v35--4/
269,Dweomerkeeper,/classes/faiths-pantheons--18/dweomerkeeper/,true,Faiths &amp; Pantheons,/rulebooks/forgotten-realms-30--6/faiths-pantheons--18/
270,Dweomerkeeper,/classes/complete-divine--56/dweomerkeeper/,true,Complete Divine,/rulebooks/supplementals-35--5/complete-divine--56/
271,Earth Dreamer,/classes/races-of-stone--82/earth-dreamer/,true,Races of Stone,/rulebooks/supplementals-35--5/races-of-stone--82/
272,Ebon Saint,/classes/complete-psionic--59/ebon-saint/,true,Complete Psionic,/rulebooks/supplementals-35--5/complete-psionic--59/
273,Ebonmar Infiltrator,/classes/cityscape--53/ebonmar-infiltrator/,true,CityScape,/rulebooks/supplementals-35--5/cityscape--53/
274,Ectopic Adept,/classes/complete-psionic--59/ectopic-adept/,true,Complete Psionic,/rulebooks/supplementals-35--5/complete-psionic--59/
275,Effigy Master,/classes/complete-arcane--55/effigy-master/,true,Complete Arcane,/rulebooks/supplementals-35--5/complete-arcane--55/
276,Eidolon,/classes/ghostwalk--94/eidolon/,false,Ghostwalk,/rulebooks/supplementals-30--7/ghostwalk--94/
277,Eidoloncer,/classes/ghostwalk--94/eidoloncer/,false,Ghostwalk,/rulebooks/supplementals-30--7/ghostwalk--94/
278,Eldeen Ranger,/classes/eberron-campaign-setting--12/eldeen-ranger/,true,Eberron Campaign Setting,/rulebooks/eberron-35--3/eberron-campaign-setting--12/
279,Eldritch Disciple,/classes/complete-mage--58/eldritch-disciple/,true,Complete Mage,/rulebooks/supplementals-35--5/complete-mage--58/
280,Eldritch Knight,/classes/dungeon-masters-guide-v35--4/eldritch-knight/,true,Dungeon Master&#39;s Guide v.3.5,/rulebooks/core-35--1/dungeon-masters-guide-v35--4/
281,Eldritch Theurge,/classes/complete-mage--58/eldritch-theurge/,true,Complete Mage,/rulebooks/supplementals-35--5/complete-mage--58/
282,Elemental Archon,/classes/faiths-pantheons--18/elemental-archon/,true,Faiths &amp; Pantheons,/rulebooks/forgotten-realms-30--6/faiths-pantheons--18/
283,Elemental Master,/classes/draconomicon--92/elemental-master/,true,Draconomicon,/rulebooks/supplementals-35--5/draconomicon--92/
284,Elemental Savant,/classes/complete-arcane--55/elemental-savant/,true,Complete Arcane,/rulebooks/supplementals-35--5/complete-arcane--55/
285,Elemental Savant,/classes/tome-and-blood-a-guidebook-to-wizards-and-sorcerers--51/elemental-savant/,true,Tome and Blood: A Guidebook to Wizards and Sorcerers,/rulebooks/supplementals-30--7/tome-and-blood-a-guidebook-to-wizards-and-sorcerers--51/
286,Elemental Scion of Zilargo,/classes/magic-of-eberron--9/elemental-scion-of-zilargo/,true,Magic of Eberron,/rulebooks/eberron-35--3/magic-of-eberron--9/
287,Elemental Warrior,/classes/planar-handbook--79/elemental-warrior/,true,Planar Handbook,/rulebooks/supplementals-35--5/planar-handbook--79/
288,Elocater,/classes/expanded-psionics-handbook--65/elocater/,true,Expanded Psionics Handbook,/rulebooks/supplementals-35--5/expanded-psionics-handbook--65/
289,Elven High Mage,/classes/races-of-faerun--23/elven-high-mage/,true,Races of Faerun,/rulebooks/forgotten-realms-30--6/races-of-faerun--23/
290,Emancipated Spawn,/classes/savage-species--47/emancipated-spawn/,true,Savage Species,/rulebooks/supplementals-30--7/savage-species--47/
291,Emissary of Barachiel,/classes/book-of-exalted-deeds--52/emissary-of-barachiel/,true,Book of Exalted Deeds,/rulebooks/supplementals-35--5/book-of-exalted-deeds--52/
292,Enchanter Variant,/classes/unearthed-arcana--90/enchanter-variant/,false,Unearthed Arcana,/rulebooks/supplementals-35--5/unearthed-arcana--90/
293,Enlightened Fist,/classes/complete-arcane--55/enlightened-fist/,true,Complete Arcane,/rulebooks/supplementals-35--5/complete-arcane--55/
294,Enlightened Spirit,/classes/complete-mage--58/enlightened-spirit/,true,Complete Mage,/rulebooks/supplementals-35--5/complete-mage--58/
295,Entropomancer,/classes/complete-divine--56/entropomancer/,true,Complete Divine,/rulebooks/supplementals-35--5/complete-divine--56/
296,Ephemeral Exemplar,/classes/libris-mortis-the-book-of-the-dead--71/ephemeral-exemplar/,true,Libris Mortis: The Book of the Dead,/rulebooks/supplementals-35--5/libris-mortis-the-book-of-the-dead--71/
297,Epic Arcane Archer,/classes/epic-level-handbook--41/epic-arcane-archer/,true,Epic Level Handbook,/rulebooks/supplementals-30--7/epic-level-handbook--41/
298,Epic Assassin,/classes/epic-level-handbook--41/epic-assassin/,true,Epic Level Handbook,/rulebooks/supplementals-30--7/epic-level-handbook--41/
299,Epic Barbarian,/classes/epic-level-handbook--41/epic-barbarian/,false,Epic Level Handbook,/rulebooks/supplementals-30--7/epic-level-handbook--41/
300,Epic Barbarian,/classes/dungeon-masters-guide-v35--4/epic-barbarian/,false,Dungeon Master&#39;s Guide v.3.5,/rulebooks/core-35--1/dungeon-masters-guide-v35--4/
301,Epic Bard,/classes/epic-level-handbook--41/epic-bard/,false,Epic Level Handbook,/rulebooks/supplementals-30--7/epic-level-handbook--41/
302,Epic Blackguard,/classes/epic-level-handbook--41/epic-blackguard/,true,Epic Level Handbook,/rulebooks/supplementals-30--7/epic-level-handbook--41/
303,Epic Cleric,/classes/epic-level-handbook--41/epic-cleric/,false,Epic Level Handbook,/rulebooks/supplementals-30--7/epic-level-handbook--41/
304,Epic Druid,/classes/epic-level-handbook--41/epic-druid/,false,Epic Level Handbook,/rulebooks/supplementals-30--7/epic-level-handbook--41/
305,Epic Dwarven Defender,/classes/epic-level-handbook--41/epic-dwarven-defender/,true,Epic Level Handbook,/rulebooks/supplementals-30--7/epic-level-handbook--41/
306,Epic Fighter,/classes/epic-level-handbook--41/epic-fighter/,false,Epic Level Handbook,/rulebooks/supplementals-30--7/epic-level-handbook--41/
307,Epic Infiltrator,/classes/epic-level-handbook--41/epic-infiltrator/,true,Epic Level Handbook,/rulebooks/supplementals-30--7/epic-level-handbook--41/
308,Epic Loremaster,/classes/epic-level-handbook--41/epic-loremaster/,true,Epic Level Handbook,/rulebooks/supplementals-30--7/epic-level-handbook--41/
309,Epic Monk,/classes/epic-level-handbook--41/epic-monk/,false,Epic Level Handbook,/rulebooks/supplementals-30--7/epic-level-handbook--41/
310,Epic Paladin,/classes/epic-level-handbook--41/epic-paladin/,false,Epic Level Handbook,/rulebooks/supplementals-30--7/epic-level-handbook--41/
311,Epic Psion,/classes/epic-level-handbook--41/epic-psion/,false,Epic Level Handbook,/rulebooks/supplementals-30--7/epic-level-handbook--41/
312,Epic Psychic Warrior,/classes/epic-level-handbook--41/epic-psychic-warrior/,false,Epic Level Handbook,/rulebooks/supplementals-30--7/epic-level-handbook--41/
313,Epic Ranger,/classes/epic-level-handbook--41/epic-ranger/,false,Epic Level Handbook,/rulebooks/supplementals-30--7/epic-level-handbook--41/
314,Epic Rogue,/classes/epic-level-handbook--41/epic-rogue/,false,Epic Level Handbook,/rulebooks/supplementals-30--7/epic-level-handbook--41/
315,Epic Shadowdancer,/classes/epic-level-handbook--41/epic-shadowdancer/,true,Epic Level Handbook,/rulebooks/supplementals-30--7/epic-level-handbook--41/
316,Epic Sorcerer,/classes/epic-level-handbook--41/epic-sorcerer/,false,Epic Level Handbook,/rulebooks/supplementals-30--7/epic-level-handbook--41/
317,Epic Wizard,/classes/epic-level-handbook--41/epic-wizard/,false,Epic Level Handbook,/rulebooks/supplementals-30--7/epic-level-handbook--41/
318,Erudite (variant Psion),/classes/complete-psionic--59/erudite-variant-psion/,false,Complete Psionic,/rulebooks/supplementals-35--5/complete-psionic--59/
319,Escalation Mage,/classes/faiths-of-eberron--8/escalation-mage/,true,Faiths of Eberron,/rulebooks/eberron-35--3/faiths-of-eberron--8/
320,Eternal Blade,/classes/tome-of-battle-the-book-of-nine-swords--88/eternal-blade/,true,Tome of Battle: The Book of Nine Swords,/rulebooks/supplementals-35--5/tome-of-battle-the-book-of-nine-swords--88/
321,Eternal Order (Paladin),/classes/champions-of-valor--28/eternal-order-paladin/,false,Champions of Valor,/rulebooks/forgotten-realms-35--4/champions-of-valor--28/
322,Eunuch Warlock,/classes/oriental-adventures--96/eunuch-warlock/,true,Oriental Adventures,/rulebooks/oriental-adventures--8/oriental-adventures--96/
323,Evangelist,/classes/complete-divine--56/evangelist/,true,Complete Divine,/rulebooks/supplementals-35--5/complete-divine--56/
324,Evereskan Tomb Guardian,/classes/players-guide-to-faerun--22/evereskan-tomb-guardian/,true,/rulebooks/forgotten-realms-35--4/players-guide-to-faerun--22/
325,Evoker Variant,/classes/unearthed-arcana--90/evoker-variant/,false,Unearthed Arcana,/rulebooks/supplementals-35--5/unearthed-arcana--90/
326,Exalted Arcanist,/classes/book-of-exalted-deeds--52/exalted-arcanist/,true,Book of Exalted Deeds,/rulebooks/supplementals-35--5/book-of-exalted-deeds--52/
327,Exemplar,/classes/complete-adventurer--54/exemplar/,true,Complete Adventurer,/rulebooks/supplementals-35--5/complete-adventurer--54/
328,Exorcist of the Silver Flame,/classes/eberron-campaign-setting--12/exorcist-of-the-silver-flame/,true,Eberron Campaign Setting,/rulebooks/eberron-35--3/eberron-campaign-setting--12/
329,Exotic Weapon Master,/classes/complete-warrior--61/exotic-weapon-master/,true,Complete Warrior,/rulebooks/supplementals-35--5/complete-warrior--61/
330,Exotic Weapon Master,/classes/masters-of-the-wild-a-guidebook-to-barbarians-druids-and-rangers--44/exotic-weapon-master/,true,Masters of the Wild: A Guidebook to Barbarians Druids and Rangers,/rulebooks/supplementals-30--7/masters-of-the-wild-a-guidebook-to-barbarians-druids-and-rangers--44/
331,Expert,/classes/dragonlance-campaign-setting--98/expert/,false,Dragonlance Campaign Setting,/rulebooks/dragonlance--9/dragonlance-campaign-setting--98/
332,Expert,/classes/dungeon-masters-guide-v35--4/expert/,false,Dungeon Master&#39;s Guide v.3.5,/rulebooks/core-35--1/dungeon-masters-guide-v35--4/
333,Expert,/classes/unearthed-arcana--90/expert/,false,Unearthed Arcana,/rulebooks/supplementals-35--5/unearthed-arcana--90/
334,Extreme Explorer,/classes/eberron-campaign-setting--12/extreme-explorer/,true,Eberron Campaign Setting,/rulebooks/eberron-35--3/eberron-campaign-setting--12/
335,Eye of Gruumsh,/classes/complete-warrior--61/eye-of-gruumsh/,true,Complete Warrior,/rulebooks/supplementals-35--5/complete-warrior--61/
336,Eye of Gruumsh,/classes/masters-of-the-wild-a-guidebook-to-barbarians-druids-and-rangers--44/eye-of-gruumsh/,true,Masters of the Wild: A Guidebook to Barbarians Druids and Rangers,/rulebooks/supplementals-30--7/masters-of-the-wild-a-guidebook-to-barbarians-druids-and-rangers--44/
337,Eye of Horus-re,/classes/players-guide-to-faerun--22/eye-of-horus-re/,true,/rulebooks/forgotten-realms-35--4/players-guide-to-faerun--22/
338,Eye of Lolth,/classes/drow-of-the-underdark--93/eye-of-lolth/,true,Drow of the Underdark,/rulebooks/supplementals-35--5/drow-of-the-underdark--93/
339,Factotum,/classes/dungeonscape--63/factotum/,false,Dungeonscape,/rulebooks/supplementals-35--5/dungeonscape--63/
340,Faith Scion,/classes/unearthed-arcana--90/faith-scion/,true,Unearthed Arcana,/rulebooks/supplementals-35--5/unearthed-arcana--90/
341,Fang of Lolth,/classes/song-and-silence-a-guidebook-to-bards-and-rogues--48/fang-of-lolth/,true,Song and Silence: A Guidebook to Bards and Rogues,/rulebooks/supplementals-30--7/song-and-silence-a-guidebook-to-bards-and-rogues--48/
342,Fang of Sseth,/classes/serpent-kingdoms--24/fang-of-sseth/,true,Serpent Kingdoms,/rulebooks/forgotten-realms-35--4/serpent-kingdoms--24/
343,Fangshields Barbarian,/classes/champions-of-valor--28/fangshields-barbarian/,false,Champions of Valor,/rulebooks/forgotten-realms-35--4/champions-of-valor--28/
344,Fangshields Druid,/classes/champions-of-valor--28/fangshields-druid/,false,Champions of Valor,/rulebooks/forgotten-realms-35--4/champions-of-valor--28/
345,Fangshields Ranger,/classes/champions-of-valor--28/fangshields-ranger/,false,Champions of Valor,/rulebooks/forgotten-realms-35--4/champions-of-valor--28/
346,Fatemaker,/classes/planar-handbook--79/fatemaker/,true,Planar Handbook,/rulebooks/supplementals-35--5/planar-handbook--79/
347,Fatespinner,/classes/complete-arcane--55/fatespinner/,true,Complete Arcane,/rulebooks/supplementals-35--5/complete-arcane--55/
348,Fatespinner,/classes/tome-and-blood-a-guidebook-to-wizards-and-sorcerers--51/fatespinner/,true,Tome and Blood: A Guidebook to Wizards and Sorcerers,/rulebooks/supplementals-30--7/tome-and-blood-a-guidebook-to-wizards-and-sorcerers--51/
349,Favored Soul,/classes/complete-divine--56/favored-soul/,false,Complete Divine,/rulebooks/supplementals-35--5/complete-divine--56/
350,Favored Soul,/classes/miniatures-handbook--75/favored-soul/,false,Miniatures Handbook,/rulebooks/supplementals-35--5/miniatures-handbook--75/
351,Fiend of Blasphemy,/classes/fiend-folio--42/fiend-of-blasphemy/,true,Fiend Folio,/rulebooks/supplementals-30--7/fiend-folio--42/
352,Fiend of Corruption,/classes/fiend-folio--42/fiend-of-corruption/,true,Fiend Folio,/rulebooks/supplementals-30--7/fiend-folio--42/
353,Fiend of Possession,/classes/fiend-folio--42/fiend-of-possession/,true,Fiend Folio,/rulebooks/supplementals-30--7/fiend-folio--42/
354,Fiend-blooded,/classes/heroes-of-horror--70/fiend-blooded/,true,Heroes of Horror,/rulebooks/supplementals-35--5/heroes-of-horror--70/
